sampleid,filterid,filternumber,Random quadrant,Picture number,Count,Fibers,Particles,Type,Given to Thermo,Location
2S312,2S312_5,5,3,2,3,3,0,offshore,,SurRidge
1D111,1D111_1,1,3,1,0,0,0,offshore,,Davidson
1D111,1D111_1,1,3,2,1,1,0,offshore,,Davidson
1D111,1D111_2,2,4,1,6,3,3,offshore,,Davidson
1D111,1D111_2,2,4,2,0,0,0,offshore,,Davidson
1D111,1D111_3,3,2,1,0,0,0,offshore,,Davidson
1D111,1D111_3,3,2,2,0,0,0,offshore,,Davidson
1D111,1D111_4,4,1,1,0,0,0,offshore,,Davidson
1D111,1D111_4,4,1,2,0,0,0,offshore,,Davidson
1D111,1D111_5,5,1,1,3,1,2,offshore,y,Davidson
1D111,1D111_5,5,1,2,1,0,1,offshore,y,Davidson
1D111,1D111_6,6,4,1,0,0,0,offshore,,Davidson
1D111,1D111_6,6,4,2,0,0,0,offshore,,Davidson
1D111,1D111_7,7,1,1,0,0,0,offshore,,Davidson
1D111,1D111_7,7,1,2,1,1,0,offshore,,Davidson
1D111,1D111_8,8,3,1,0,0,0,offshore,,Davidson
1D111,1D111_8,8,3,2,0,0,0,offshore,,Davidson
1D111,1D111_9,9,3,1,0,0,0,offshore,,Davidson
1D111,1D111_9,9,3,2,0,0,0,offshore,,Davidson
1D211,1D211_1,1,3,1,0,0,0,offshore,,Davidson
1D211,1D211_1,1,3,2,0,0,0,offshore,,Davidson
1D211,1D211_2,2,1,1,0,0,0,offshore,,Davidson
1D211,1D211_2,2,1,2,0,0,0,offshore,,Davidson
1D211,1D211_3,3,1,1,0,0,0,offshore,,Davidson
1D211,1D211_3,3,1,2,1,1,0,offshore,,Davidson
1D311,1D311_1,1,3,1,0,0,0,offshore,,Davidson
1D311,1D311_1,1,3,2,0,0,0,offshore,,Davidson
1D311,1D311_2,2,2,1,0,0,0,offshore,,Davidson
1D311,1D311_2,2,2,2,1,0,1,offshore,,Davidson
1S211,1S211_1,1,1,1,40,20,20,offshore,y,SurRidge
1S211,1S211_1,1,1,2,7,4,3,offshore,y,SurRidge
1S211,1S211_2,2,2,1,12,3,9,offshore,,SurRidge
1S211,1S211_2,2,2,2,1,1,0,offshore,,SurRidge
1S211,1S211_3,3,3,1,1,1,0,offshore,,SurRidge
1S211,1S211_3,3,3,2,0,0,0,offshore,,SurRidge
1S211,1S211_4,4,2,1,10,3,7,offshore,,SurRidge
1S211,1S211_4,4,2,2,3,0,3,offshore,,SurRidge
1S311,1S311_1,1,2,1,4,3,1,offshore,,SurRidge
1S311,1S311_1,1,2,2,0,0,0,offshore,,SurRidge
1S311,1S311_2,2,3,1,20,20,0,offshore,,SurRidge
1S311,1S311_2,2,3,2,3,3,0,offshore,,SurRidge
1S311,1S311_3,3,2,1,5,5,0,offshore,,SurRidge
1S311,1S311_3,3,2,2,9,1,8,offshore,,SurRidge
1S311,1S311_4,4,4,1,111,111,0,offshore,,SurRidge
1S311,1S311_4,4,4,2,23,23,0,offshore,,SurRidge
1S312,1S312_1,1,2,1,2,2,0,offshore,,SurRidge
1S312,1S312_1,1,2,2,2,0,2,offshore,,SurRidge
2D111,2D111_1,1,2,1,4,0,4,offshore,,Davidson
2D111,2D111_1,1,2,2,4,0,4,offshore,,Davidson
2D111,2D111_2,2,2,1,8,0,8,offshore,,Davidson
2D111,2D111_2,2,2,2,4,0,4,offshore,,Davidson
2D111,2D111_3,3,2,1,2,0,2,offshore,,Davidson
2D111,2D111_3,3,2,2,2,0,2,offshore,,Davidson
2D111,2D111_4,4,4,1,2,2,0,offshore,,Davidson
2D111,2D111_4,4,4,2,0,0,0,offshore,,Davidson
2D111,2D111_5,5,3,1,2,1,1,offshore,y,Davidson
2D111,2D111_5,5,3,2,1,0,1,offshore,y,Davidson
2D211,2D211_1,1,1,1,1,0,1,offshore,,Davidson
2D211,2D211_1,1,1,2,0,0,0,offshore,,Davidson
2D211,2D211_2,2,4,1,0,0,0,offshore,,Davidson
2D211,2D211_2,2,4,2,0,0,0,offshore,,Davidson
2D211,2D211_3,3,2,1,0,0,0,offshore,,Davidson
2D211,2D211_3,3,2,2,3,3,0,offshore,,Davidson
2D211,2D211_4,4,1,1,7,6,1,offshore,,Davidson
2D211,2D211_4,4,1,2,3,2,1,offshore,,Davidson
2D211,2D211_5,5,1,1,5,3,2,offshore,,Davidson
2D211,2D211_5,5,1,2,2,2,0,offshore,,Davidson
2D312,2D312_1,1,2,1,0,0,0,offshore,,Davidson
2D312,2D312_1,1,2,2,0,0,0,offshore,,Davidson
2D312,2D312_2,2,4,1,0,0,0,offshore,,Davidson
2D312,2D312_2,2,4,2,0,0,0,offshore,,Davidson
2D312,2D312_3,3,3,1,0,0,0,offshore,,Davidson
2D312,2D312_3,3,3,2,0,0,0,offshore,,Davidson
2D322,2D322_1,1,4,1,0,0,0,offshore,,Davidson
2D322,2D322_1,1,4,2,1,1,0,offshore,,Davidson
2D322,2D322_2,2,4,1,0,0,0,offshore,,Davidson
2D322,2D322_2,2,4,2,0,0,0,offshore,,Davidson
2S312,2S312_2,2,2,1,0,0,0,offshore,,SurRidge
2S312,2S312_2,2,2,2,0,0,0,offshore,,SurRidge
2S312,2S312_3,3,4,1,1,1,0,offshore,y,SurRidge
2S312,2S312_3,3,4,2,0,0,0,offshore,y,SurRidge
2S312,2S312_4,4,1,1,4,4,0,offshore,,SurRidge
2S312,2S312_4,4,1,2,1,1,0,offshore,,SurRidge
2S312,2S312_5,5,3,1,3,0,3,offshore,,SurRidge
2S312,2S312_5,5,3,2,0,0,0,offshore,,SurRidge
2S312,2S312_6,6,1,1,0,0,0,offshore,,SurRidge
2S312,2S312_6,6,1,2,0,0,0,offshore,,SurRidge
2S312,2S312_7,7,2,1,0,0,0,offshore,,SurRidge
2S312,2S312_7,7,2,2,0,0,0,offshore,,SurRidge
2S312,2S312_8,8,4,1,0,0,0,offshore,,SurRidge
2S312,2S312_8,8,4,2,0,0,0,offshore,,SurRidge
2S312,2S312_9,9,4,1,0,0,0,offshore,,SurRidge
2S312,2S312_9,9,4,2,0,0,0,offshore,,SurRidge
2S322,2S322_1,1,4,1,2,2,0,offshore,,SurRidge
2S322,2S322_1,1,4,2,0,0,0,offshore,,SurRidge
2S322,2S322_2,2,1,1,2,0,2,offshore,,SurRidge
2S322,2S322_2,2,1,2,2,2,0,offshore,,SurRidge
2S322,2S322_3,3,1,1,2,2,0,offshore,,SurRidge
2S322,2S322_3,3,1,2,1,0,1,offshore,,SurRidge
2S322,2S322_4,4,2,1,1,1,0,offshore,,SurRidge
2S322,2S322_4,4,2,2,0,0,0,offshore,,SurRidge
2S322,2S322_5,5,2,1,3,2,1,offshore,,SurRidge
2S322,2S322_5,5,2,2,0,0,0,offshore,,SurRidge
2S322,2S322_6,6,3,1,0,0,0,offshore,,SurRidge
2S322,2S322_6,6,3,2,0,0,0,offshore,,SurRidge
2S322,2S322_7,7,1,1,0,0,0,offshore,,SurRidge
2S322,2S322_7,7,1,2,0,0,0,offshore,,SurRidge
2S322,2S322_8,8,3,1,5,0,5,offshore,,SurRidge
2S322,2S322_8,8,3,2,1,0,1,offshore,,SurRidge
3D111,3D111_1,1,1,1,5,3,2,offshore,y,Davidson
3D111,3D111_1,1,1,2,3,3,0,offshore,y,Davidson
3D111,3D111_2,2,2,1,10,10,0,offshore,,Davidson
3D111,3D111_2,2,2,2,4,4,0,offshore,,Davidson
3D211,3D211_1,1,2,1,12,12,0,offshore,,Davidson
3D211,3D211_1,1,2,2,0,0,0,offshore,,Davidson
3D311,3D311,1,2,1,8,4,4,offshore,,Davidson
3D311,3D311,1,2,2,6,4,2,offshore,,Davidson
B111,B111_1,1,3,1,0,0,0,nearshore,,Boardwalk
B111,B111_1,1,3,2,0,0,0,nearshore,,Boardwalk
B111,B111_10,10,3,1,0,0,0,nearshore,,Boardwalk
B111,B111_10,10,3,2,0,0,0,nearshore,,Boardwalk
B111,B111_2,2,3,1,8,7,1,nearshore,,Boardwalk
B111,B111_2,2,3,2,0,0,0,nearshore,,Boardwalk
B111,B111_3,3,2,1,2,2,0,nearshore,,Boardwalk
B111,B111_3,3,2,2,1,1,0,nearshore,,Boardwalk
B111,B111_4,4,4,1,7,0,7,nearshore,,Boardwalk
B111,B111_4,4,4,2,0,0,0,nearshore,,Boardwalk
B111,B111_5,5,3,1,0,0,0,nearshore,,Boardwalk
B111,B111_5,5,3,2,1,1,0,nearshore,,Boardwalk
B111,B111_6,6,1,1,1,1,0,nearshore,,Boardwalk
B111,B111_6,6,1,2,3,2,1,nearshore,,Boardwalk
B111,B111_7,7,2,1,0,0,0,nearshore,y,Boardwalk
B111,B111_7,7,2,2,0,0,0,nearshore,y,Boardwalk
B111,B111_8,8,4,1,1,0,1,nearshore,,Boardwalk
B111,B111_8,8,4,2,0,0,0,nearshore,,Boardwalk
B111,B111_9,9,1,1,0,0,0,nearshore,,Boardwalk
B111,B111_9,9,1,2,0,0,0,nearshore,,Boardwalk
B211,B211_1,1,1,1,7,7,0,nearshore,,Boardwalk
B211,B211_1,1,1,2,0,0,0,nearshore,,Boardwalk
B211,B211_2,2,4,1,0,0,0,nearshore,,Boardwalk
B211,B211_2,2,4,2,0,0,0,nearshore,,Boardwalk
B211,B211_3,3,3,1,552,0,552,nearshore,,Boardwalk
B211,B211_3,3,3,2,20,18,2,nearshore,,Boardwalk
B211,B211_4,4,3,1,1,1,0,nearshore,,Boardwalk
B211,B211_4,4,3,2,0,0,0,nearshore,,Boardwalk
B211,B211_5,5,1,1,3,2,1,nearshore,y,Boardwalk
B211,B211_5,5,1,2,2,2,0,nearshore,y,Boardwalk
B211,B211_6,6,2,1,1,0,0,nearshore,,Boardwalk
B211,B211_6,6,2,2,0,0,0,nearshore,,Boardwalk
B311,B311_1,1,3,1,2,2,0,nearshore,,Boardwalk
B311,B311_1,1,3,2,3,2,1,nearshore,,Boardwalk
BLANK,BLANK,,3,1,2,2,0,Blank,,Lab
BLANK,BLANK,,3,2,1,1,0,Blank,,Lab
blank?,blank?,,1,1,4,0,4,Blank,,Lab
blank?,blank?,,1,2,0,0,0,Blank,,Lab
blank61019,blank61019,,4,1,5,5,0,Blank,,Lab
blank61019,blank61019,,4,2,2,2,0,Blank,,Lab
blank61219,blank61219,,4,1,7,7,0,Blank,,Lab
blank61219,blank61219,,4,2,1,1,0,Blank,,Lab
blank617,blank617,,3,1,6,6,0,Blank,,Lab
blank617,blank617,,3,2,0,0,0,Blank,,Lab
blank625,blank625,,4,1,3,2,1,Blank,,Lab
blank625,blank625,,4,2,2,1,1,Blank,,Lab
blank627,blank627,,2,1,4,4,0,Blank,y,Lab
blank627,blank627,,2,2,4,4,0,Blank,y,Lab
blank6719,blank6719,6719,4,1,3,3,0,Blank,,Lab
blank6719,blank6719,6719,4,2,3,3,0,Blank,,Lab
blank71,blank71,71,2,1,1,1,0,Blank,,Lab
blank71,blank71,71,2,2,0,0,0,Blank,,Lab
blank715,blank715,715,2,1,3,2,1,Blank,,Lab
blank715,blank715,715,2,2,4,2,2,Blank,,Lab
blank73,blank73,73,3,1,2,0,2,Blank,,Lab
blank73,blank73,73,3,2,0,0,0,Blank,,Lab
eblank62173,eblank62173,62173,4,1,6,3,3,Blank,,Lab
eblank62173,eblank62173,62173,4,2,0,0,0,Blank,,Lab
eblank73,eblank73,73,3,1,0,0,0,Blank,,Lab
eblank73,eblank73,73,3,2,0,0,0,Blank,,Lab
M111,M111_1,1,2,1,6,6,0,nearshore,y,Marina
M111,M111_1,1,2,2,5,5,0,nearshore,y,Marina
M212,M212_1,1,2,1,7,0,7,nearshore,,Marina
M212,M212_1,1,2,2,1,1,0,nearshore,,Marina
M212,M212_2,2,2,1,2,2,0,nearshore,,Marina
M212,M212_2,2,2,2,2,2,0,nearshore,,Marina
M212,M212_3,3,1,1,2,2,0,nearshore,,Marina
M212,M212_3,3,1,2,0,0,0,nearshore,,Marina
M212,M212_4,4,2,1,5,3,2,nearshore,,Marina
M212,M212_4,4,2,2,1,1,0,nearshore,,Marina
M222,M222_1,1,2,1,9,0,9,nearshore,,Marina
M222,M222_1,1,2,2,4,0,4,nearshore,,Marina
M222,M222_2,2,4,1,5,2,3,nearshore,,Marina
M222,M222_2,2,4,2,4,1,3,nearshore,,Marina
M222,M222_3,3,1,1,0,0,0,nearshore,,Marina
M222,M222_3,3,1,2,0,0,0,nearshore,,Marina
M222,M222_4,4,2,1,0,0,0,nearshore,,Marina
M222,M222_4,4,2,2,0,0,0,nearshore,,Marina
M222,M222_5,5,3,1,12,9,3,nearshore,y,Marina
M222,M222_5,5,3,2,2,0,2,nearshore,y,Marina
M222,M222_6,6,4,1,2,0,2,nearshore,,Marina
M222,M222_6,6,4,2,0,0,0,nearshore,,Marina
poo,poo1,1,2,1,0,0,0,other,,Whale
poo,poo1,1,2,2,0,0,0,other,,Whale
poo,poo2,2,4,1,0,0,0,other,,Whale
poo,poo2,2,4,2,0,0,0,other,,Whale
poo,poo3,3,2,1,0,0,0,other,,Whale
poo,poo3,3,2,2,1,0,1,other,,Whale
S111,S111_1,1,4,1,5,5,0,offshore,,SurRidge
S111,S111_1,1,4,2,0,0,0,offshore,,SurRidge
S111,S111_2,2,3,1,5,5,0,offshore,,SurRidge
S111,S111_2,2,3,2,0,0,0,offshore,,SurRidge
2BFB1,2BFB1,1,2,1,17,17,0,Field,,Boardwalk
2BFB1,2BFB1,1,2,2,1,1,0,Field,,Boardwalk
2BFB2,2BFB2,1,4,1,24,10,14,Field,,Boardwalk
2BFB2,2BFB2,1,4,2,4,4,0,Field,,Boardwalk
2MFB1,2MFB1,1,2,1,5,5,0,Field,,Marina
2MFB1,2MFB1,1,2,2,0,0,0,Field,,Marina
2MFB2,2MFB2,1,3,1,14,10,4,Field,,Marina
2MFB2,2MFB2,1,3,2,7,6,1,Field,,Marina
2B211,2B211_1,1,4,1,6,4,2,nearshore,,Boardwalk
2B211,2B211_1,1,4,2,7,2,5,nearshore,,Boardwalk
2B211,2B211_2,2,3,1,1,0,1,nearshore,,Boardwalk
2B211,2B211_2,2,3,2,1,1,0,nearshore,,Boardwalk
2B311,2B311_1,1,2,1,6,3,3,nearshore,,Boardwalk
2B311,2B311_1,1,2,2,6,5,1,nearshore,,Boardwalk
2B311,2B311_2,2,4,1,5,4,1,nearshore,,Boardwalk
2B311,2B311_2,2,4,2,2,1,1,nearshore,,Boardwalk
blank926,blank926,1,2,1,6,3,3,Blank,,Lab
blank926,blank926,1,2,2,3,3,0,Blank,,Lab
blank919,blank919,1,1,1,4,3,1,Blank,,Lab
blank919,blank919,1,1,2,0,0,0,Blank,,Lab
2B112,2B112_1,1,3,1,1,1,0,nearshore,,Boardwalk
2B112,2B112_1,1,3,2,0,0,0,nearshore,,Boardwalk
2B112,2B112_2,2,4,1,8,0,8,nearshore,,Boardwalk
2B112,2B112_2,2,4,2,3,0,3,nearshore,,Boardwalk
2B112,2B112_3,3,1,1,13,1,12,nearshore,,Boardwalk
2B112,2B112_3,3,1,2,2,1,1,nearshore,,Boardwalk
2B122,2B122_1,1,3,1,1,0,1,nearshore,,Boardwalk
2B122,2B122_1,1,3,2,1,0,1,nearshore,,Boardwalk
2B122,2B122_2,2,1,1,0,0,0,nearshore,,Boardwalk
2B122,2B122_2,2,1,2,1,1,0,nearshore,,Boardwalk
2B122,2B122_3,3,3,1,6,4,2,nearshore,,Boardwalk
2B122,2B122_3,3,3,2,3,2,1,nearshore,,Boardwalk
2B122,2B122_4,4,4,1,10,7,3,nearshore,,Boardwalk
2B122,2B122_4,4,4,2,1,1,0,nearshore,,Boardwalk
B311,B311_2,2,2,1,10,3,7,nearshore,,Boardwalk
B311,B311_2,2,2,2,3,3,0,nearshore,,Boardwalk
M311,M311_4,4,4,1,0,0,0,nearshore,,Marina
M311,M311_4,4,4,2,1,1,0,nearshore,,Marina
M311,M311_2,2,2,1,1,1,0,nearshore,,Marina
M311,M311_2,2,2,2,0,0,0,nearshore,,Marina
M311,M311_1,1,3,1,1,1,0,nearshore,,Marina
M311,M311_1,1,3,2,3,0,3,nearshore,,Marina
M311,M311_3,3,1,1,0,0,0,nearshore,,Marina
M311,M311_3,3,1,2,0,0,0,nearshore,,Marina
2S111,2S111_2,2,4,1,2,1,1,offshore,,SurRidge
2S111,2S111_2,2,4,2,2,0,2,offshore,,SurRidge
2S111,2S111_3,3,1,1,3,3,0,offshore,,SurRidge
2S111,2S111_3,3,1,2,2,1,1,offshore,,SurRidge
2S111,2S111_4,4,1,1,10,0,10,offshore,,SurRidge
2S111,2S111_4,4,1,2,2,0,2,offshore,,SurRidge
2S111,2S111_5,5,2,1,4,0,4,offshore,,SurRidge
2S111,2S111_5,5,2,2,1,0,1,offshore,,SurRidge
2S111,2S111_6,6,2,1,6,0,6,offshore,,SurRidge
2S111,2S111_6,6,2,2,2,0,2,offshore,,SurRidge
2S111,2S111_7,7,3,1,7,1,6,offshore,,SurRidge
2S111,2S111_7,7,3,2,2,2,0,offshore,,SurRidge
2S111,2S111_1,1,1,1,2,2,0,offshore,,SurRidge
2S111,2S111_1,1,1,2,2,2,0,offshore,,SurRidge
blank614,blank614,3,3,1,2,2,0,Blank,,Lab
blank614,blank614,3,3,2,0,0,0,Blank,,Lab
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,